state;statenum;trend;treated;treated_post;lncase;afdcben;unemp;empratio;mon_d2;mon_d3;mon_d4;caseload;popn;empratio_raw;south;control;T0
AL;1;106;0;0;-4.611308575;4.630000114;7.199999809;-0.793615878;0;1;0;43874;4280874;0.452206731;1;1;117
AL;1;107;0;0;-4.609568596;4.630000114;6.800000191;-0.79691565;0;1;0;43980;4282976;0.450716972;1;1;117
AL;1;108;0;0;-4.616354465;4.630000114;6.199999809;-0.795688748;0;1;0;43712;4285077;0.451270312;1;1;117
AL;1;109;0;0;-4.61357832;4.769999981;6.300000191;-0.790066004;0;0;1;43863;4287178;0.453814834;1;1;117
AL;1;110;0;0;-4.618785381;4.769999981;5.699999809;-0.779887021;0;0;1;43677;4289843;0.458457798;1;1;117
AL;1;111;0;0;-4.623757362;4.769999981;5.099999905;-0.778946519;0;0;1;43502;4292507;0.458889186;1;1;117
AL;1;112;0;0;-4.627153873;4.769999981;5.599999905;-0.797001421;0;0;0;43396;4295172;0.450678349;1;1;117
AL;1;113;0;0;-4.634976864;4.769999981;5.699999809;-0.794979155;0;0;0;43099;4297837;0.451590657;1;1;117
AL;1;114;0;0;-4.640374184;4.769999981;4.900000095;-0.786395431;0;0;0;42908;4300501;0.455483675;1;1;117
AL;1;115;0;0;-4.657138824;4.769999981;5.099999905;-0.781251013;1;0;0;42235;4303166;0.457832903;1;1;117
AL;1;116;0;0;-4.665150642;4.769999981;4.800000191;-0.777217805;1;0;0;41938;4305831;0.45968315;1;1;117
AL;1;117;0;0;-4.680853844;4.769999981;5.900000095;-0.774103642;1;0;0;41324;4308495;0.46111694;1;1;117
AK;2;1;0;0;-4.323176384;9.460000038;10.69999981;-0.858538032;0;0;1;7150;539309;0.423781186;0;1;117
AK;2;2;0;0;-4.321721554;9.460000038;10.89999962;-0.872240067;0;0;1;7165;539532;0.418014139;0;1;117
AK;2;3;0;0;-4.331616402;9.460000038;11.19999981;-0.882890284;0;0;1;7099;539755;0.413585782;0;1;117
AK;2;4;0;0;-4.323281765;9.460000038;12.69999981;-0.916819572;0;0;0;7163;539978;0.399788499;0;1;117
AK;2;5;0;0;-4.299374104;9.460000038;13.10000038;-0.918556333;0;0;0;7341;540200;0.39909479;0;1;117
AK;2;6;0;0;-4.258522034;9.460000038;12.80000019;-0.915935516;0;0;0;7652;540423;0.400142103;0;1;117
AK;2;7;0;0;-4.236684799;9.460000038;11.89999962;-0.915687025;1;0;0;7826;540646;0.400241554;0;1;117
AK;2;8;0;0;-4.243862629;9.460000038;11.39999962;-0.892912567;1;0;0;7775;540869;0.409461439;0;1;117
AK;2;9;0;0;-4.269242764;9.460000038;10.80000019;-0.86027354;1;0;0;7585;541092;0.42304635;0;1;117
AK;2;10;0;0;-4.26357317;9.460000038;9.100000381;-0.829123497;0;1;0;7633;541315;0.436431646;0;1;117
AK;2;11;0;0;-4.271046162;9.460000038;8.600000381;-0.847118139;0;1;0;7581;541537;0.428648472;0;1;117
AK;2;12;0;0;-4.297743797;9.460000038;9;-0.871923625;0;1;0;7386;541760;0.418146402;0;1;117
AK;2;13;0;0;-4.299466133;9.800000191;10;-0.882834375;0;0;1;7378;541983;0.413608909;0;1;117
